title,presenter,affiliation,description,biography,date,academic_year,youtube,name,record_type,body,original_link
Ambassadors Lewis & Clark: Was the Corps of Discovery the Agent of Discovery?,Dennis Colson,Law,,,2005-01-25,2004/05,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2005
An Ear for Jazz,Dan Bukvich,Lionel Hampton School of Music,,,2005-02-22,2004/05,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2005
"We Are What We Teach: Politics, Political Science, and the Environment",Pat Wilson,Political Science,,,2005-03-08,2004/05,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2005
"Muscle Men, Fat Mice and the Supersize Culture",Rod Hill,Animal & Veterinary Science,,,2005-04-19,2004/05,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2005
Describing Your Way to Decryption,Al Carlson,Computer Science,,,2005-04-26,2004/05,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2005
"Teaching, Mentoring and Research - Compatible Priorities",Thomas Bitterwolf,Chemistry,,,2005-09-06,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/fall2005
Mining and Mine Rescue,Michael Weaver,Idaho Geological Survey,,,2005-10-04,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/fall2005
"Perception as Reality: When, How and Should Researchers Aggregate Perception",Scott Metlen,Business,,,2005-11-29,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/fall2005
26 Days through Lower and Upper Dolpo--Nepal's Forbidden Tibetan Region,Phil Druker,English,,,2006-01-24,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
Insight Through Illusion: Gaining an Understanding of the Brain by Studying Its Mistakes,Brian P. Dyre,"Psychology and Communication Studies, and Neuroscience",,,2006-01-31,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
How Einstein Rocked the World of Physics in 1905: A 100 Year Celebration,Phil Deutchman,Physics,,,2006-02-07,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
The Courts and the Media: A Troubled Symbiosis,Don Burnett,Law,,,2006-02-14,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
An Ear for Jazz,Dan Bukvich,Lionel Hampton School of Music,,,2006-02-21,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
"Annabel and Bart: Diaries, Letters, Watercolors, Photographs, and Fields",Joy Passanante,English,,,2006-02-28,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
The Perils of Patronage,Kurt Olsson,English,,,2006-03-07,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
The Effects of Competition on Moral Reasoning: Why the Atlanta Braves are Concerned,Sharon Stoll,HPERD,,,2006-03-21,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
Lessons Learned from Conducting Interdisciplinary Doctoral Research in Agricultural and Natural Resource Systems,Wayde Morse; Max Nielsen-Pincus,CSS; Forest Resources,,,2006-03-28,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
War and Peace: What We Can Learn from the Microbial World,Patricia Hartzell,MMBB,,,2006-04-04,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
Study Abroad Experiences for University of Idaho Students,Irina Kappler-Crookston,Foreign Languages and Literatures,,,2006-04-11,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
From Interdisciplinarity to Intercivilization: Europe and the Early Islamic World,S. (Ghazi) Ghazanfar,Economics,,,2006-04-18,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
Mathematical Structures and Some Ties to Music and Art,Clancy Potratz,Mathematics,,,2006-04-25,2005/06,,,event,,http://www.uidaho.edu/class/mric/archives/pre-2010/spring2006
