Title,body,Presenter,afiliation,abstract,biography,day,year,academic_year,youtubeid,name,r-type,original_url
Exploring Idaho Lookouts: Legacy and Future Perspectives,"This Malcolm M. Renfrew Interdisciplinary Colloquium session will be in person and streaming via Zoom.
This session presents two different research perspectives on fire lookouts in Idaho. The first, by Michael Decker, focuses on his fieldwork as both a firewatcher and a researcher, conducting interviews with U.S. Forest Service staff and collecting photographic documentation of lookouts in Idaho’s most remote forest areas that were used in the creation of the library-supported digital scholarship project, Keeping Watch. The second presentation, by Andrea Alberto Dutto, offers reflections on the evolution of lookout towers as an architectural typology, stemming from a design studio at the College of Art and Architecture's architecture department and further developed through bibliographic research. Together, the two presentations highlight the value of lookout towers as historical heritage in forest management and as a resource for future practices in recreation and forest preservation.",Andrea Dutto; Michael Decker,Architecture; College of Graduate Studies,"This session presents two different research perspectives on fire lookouts in Idaho. The first, by Michael Decker, focuses on his fieldwork as both a firewatcher and a researcher, conducting interviews with U.S. Forest Service staff and collecting photographic documentation of lookouts in Idaho’s most remote forest areas that were used in the creation of the library-supported digital scholarship project, Keeping Watch. The second presentation, by Andrea Alberto Dutto, offers reflections on the evolution of lookout towers as an architectural typology, stemming from a design studio at the College of Art and Architecture's architecture department and further developed through bibliographic research. Together, the two presentations highlight the value of lookout towers as historical heritage in forest management and as a resource for future practices in recreation and forest preservation.",,2024-10-08,2024,2024/25,,,event,https://libcal.uidaho.edu/event/13041787
AI Literacy for Everyone Who Learns and Inquires: AI Ethics and Inquiry,"We can approach AI systems as if they were agents with beliefs, desires, and intentions. We do this, sometimes, when we interact with complicated tools. However, this agential stance masks some key limitations and capacities of AI systems that are more easily diagnosed from a high-level understanding of their design. Just as important, however, is that the design stance masks the values and ethical frameworks we need to evaluate uses of AI systems. Because of this, we argue that AI literacy requires collaboration between humanities and sciences. In this talk we introduce our approach to AI literacy, focusing specifically on Large Language Models (LLMs) and their general impacts on many kinds of inquiry, ranging from the everyday (how would you cook cauliflower as if it were a steak?), to the academic (what’s a good way for me to study this material?), to the basics (help me generate ideas!).",Bert Baumgaertner; Casey Johnson,Politics and Philosophy,"We can approach AI systems as if they were agents with beliefs, desires, and intentions. We do this, sometimes, when we interact with complicated tools. However, this agential stance masks some key limitations and capacities of AI systems that are more easily diagnosed from a high-level understanding of their design. Just as important, however, is that the design stance masks the values and ethical frameworks we need to evaluate uses of AI systems. Because of this, we argue that AI literacy requires collaboration between humanities and sciences. In this talk we introduce our approach to AI literacy, focusing specifically on Large Language Models (LLMs) and their general impacts on many kinds of inquiry, ranging from the everyday (how would you cook cauliflower as if it were a steak?), to the academic (what’s a good way for me to study this material?), to the basics (help me generate ideas!).",,2024-10-22,2024,2024/25,,,event,https://libcal.uidaho.edu/event/13041855
Playful Math,Event canceled due to power outage.,Rob Ely,Mathematics,Event canceled due to power outage.,,2024-11-05,2024,2024/25,,,event,https://libcal.uidaho.edu/event/13042109
Making Sense of the 2024 Election Results: What Happened and Why?,,Rebecca Scofield; Pavielle Haines; Markie McBrayer; Michael Overton,History; Politics & Philosophy; Politics & Philosophy; Politics & Philosophy,,,2024-11-12,2024,2024/25,,,event,https://libcal.uidaho.edu/event/13042394
JournalMap: Using AI to Map the Where of Science,,Jason Karl; Jeremy Kenyon,"Forest, Rangeland, and Fire Science; Library",,,2024-11-19,2024,2024/25,,,event,https://libcal.uidaho.edu/event/13042400
"EASY for humans, HARD for AI: Metaphor Abstraction and Reasoning",,Bert Baumgaertner,Politics & Philosophy,,,2025-09-02,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239107
The Kibbie Dome Becomes History,,Nels Reese,Architecture,,,2025-09-09,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239126
Burn It All Down: The Feminist Imagination in 20th Century Dragon Riding Fiction,,Rebecca Scofield,History,,,2025-09-16,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239186
Voices and Votes: Democracy in America,,Markie McBrayer,Politics & Philosophy,,,2025-09-23,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239241
“Should I Stay or Should I Go?”: Air Quality and Behavioral Decision-Making,,Chris Zajchowski,Natural Resources & Society,,,2025-10-07,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239315
