Title,body,Presenter,afiliation,abstract,biography,day,year,academic_year,youtubeid,name,r-type,original_url
Behind the Scenes at Idaho Reports,"Overview: 

Idaho Reports has filled a unique role in Idaho’s media landscape for the past five decades. While delivery platforms, schedules, and audience behaviors have changed, the mission of Idaho’s only statewide news program remains the same.To celebrate the 60th anniversary of Idaho Public Television, this program will present a behind-the-scenes look at the West’s longest-running public policy show. Hear how Idaho Reports is adapting to the same industry shifts that all news outlets face, while navigating the unique challenges of a public media system in a rural state. As journalism continues to find its footing in an increasingly online and partisan world, Davin will offer insights into the program’s editorial decisions as it reaches audiences across the state.",Alex Ruble,History,"Overview: 

Idaho Reports has filled a unique role in Idaho’s media landscape for the past five decades. While delivery platforms, schedules, and audience behaviors have changed, the mission of Idaho’s only statewide news program remains the same.To celebrate the 60th anniversary of Idaho Public Television, this program will present a behind-the-scenes look at the West’s longest-running public policy show. Hear how Idaho Reports is adapting to the same industry shifts that all news outlets face, while navigating the unique challenges of a public media system in a rural state. As journalism continues to find its footing in an increasingly online and partisan world, Davin will offer insights into the program’s editorial decisions as it reaches audiences across the state.",,2025-10-14,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239342
“Perpetual Prisoners: The Postwar Lives of Hitler’s Political Enemies”,"Overview: “Perpetual Prisoners: The Postwar Lives of Hitler’s Political Enemies” explores how and why former political prisoners, specifically the victims of National Socialism, were reintegrated, commemorated, and forgotten in the three postwar German states (West Germany, East Germany, and reunified Germany) between 1945 and 2010. Initially celebrated as living proof that fascism had been defeated, former political prisoners gradually came to be seen as a financial and social burden, viewed with suspicion, and silenced. This presentation examines how former prisoners and their dependents navigated the complex matrix of occupation bureaucracy in hopes of recognition in the early postwar years.",Melissa Davlin,Idaho Public Television,"Overview: “Perpetual Prisoners: The Postwar Lives of Hitler’s Political Enemies” explores how and why former political prisoners, specifically the victims of National Socialism, were reintegrated, commemorated, and forgotten in the three postwar German states (West Germany, East Germany, and reunified Germany) between 1945 and 2010. Initially celebrated as living proof that fascism had been defeated, former political prisoners gradually came to be seen as a financial and social burden, viewed with suspicion, and silenced. This presentation examines how former prisoners and their dependents navigated the complex matrix of occupation bureaucracy in hopes of recognition in the early postwar years.",,2025-10-21,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239357
Project Evergreen: An Autonomous Weed Eradication Robot,,John Shovic & Brent Knopp,Center for Intelligent Industrial Robotics,,,2025-10-28,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239374
The Blues and the Rule of Law: Musical Expressions of the Failure of Justice as a Catalyst for Change,,David Pimentel,Law,,,2025-11-04,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239382
How to Keep Wildlife Vaccines from Affecting Human Populations,,Scott Nuismer,Biological Sciences,,,2025-11-11,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239464
"Impact of Tariffs on International Trade, U.S. Consumers and Financial Markets",,Terrance Grieb; Steven Peterson,Business; Economics,,,2025-11-18,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15239472
"Labels, Stereotypes and Bandwagons: How Social Media Shape Stereotypes and Emotions Towards Immigrants",,Moritz Cleve,Journalism and Mass Media,,,2025-12-02,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15240115
How Ethics and Politics Affect Methods for Biological Anthropology and Archeology,,Katharine Kolpan,Culture,,,2025-12-09,2025,2025/26,,,event,https://libcal.uidaho.edu/event/15240123
"2026: The Year of Rangelands and Pastoralists: Landscapes, Livelihoods, and Legacy",,Karen Launchbaugh,"Forest, Rangeland and Fire Sciences",,,2026-01-20,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249447
"The Mountain is Part of Us: Tourism, Community, and American Indian Sacred Land in Northern Arizona",,William Holly,History; Idaho Society of Fellows,,,2026-01-27,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249491
Using Machine Learning to Predict Patterns of Biodiversity,,Jack Sullivan,Biological Sciences,,,2026-02-03,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249576
"Open Strings, Open Access: Making Cello Research Free for Everyone",,Miranda Wilson,Music,,,2026-02-10,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249589
The European Union and De-Sovietization: The Case of Abkhazia,,Kate Butterworth,Idaho Society of Fellows,,,2026-02-17,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249597
Geopolitics of Submarine Warfare,,Ray Dezzani,Earth and Spatial Sciences,,,2026-02-24,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249619
"Games, Storytelling and Artificial Intelligence in Medical Education",,Tyler Bland,WAAMI,,,2026-03-03,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249640
Im Westen nichts Neues (Netflix 2022): (Re)making All Quiet on the Western Front for the 21st Century,,Rachel Halverson,School of Global Studies,,,2026-03-10,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249674
Sleepy Citizenship: The Biopolitics of Rest in American Democracy,,Fatih Erol,Politics and Philosophy; Idaho Society of Fellows,,,2026-03-24,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249703
"Non-Binary Identities, Agency, and Social Status in the Ancient Mediterranean and Near East",,Alyson Roy,History,,,2026-03-31,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249716
"Presentation by The Honorable Colleen Zahn, Idaho Supreme Court",Topic TBD,The Hon. Colleen Zahn,Idaho Supreme Court,,,2026-04-02,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16249854
Political Aspects of Hosting International Sporting Events,,Bill Smith,Global Studies,,,2026-04-07,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16250079
Early Relations Between the U.S. Government and Indigenous Peoples,,Zach Conn,Idaho Society of Fellows,,,2026-04-14,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16250143
How to Listen to Jazz; Preview of 2026 Lionel Hampton Jazz Festival,"Presentation will be held in Haddock Hall, Lionel Hampton School of Music",Palouse Jazz Project,Lionel Hampton School of Music,"Presentation will be held in Haddock Hall, Lionel Hampton School of Music",,2026-04-21,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16250170
Harnessing Hope in Uncertain Times: Teacher Resilience in Contexts of Crisis,,Janine Darragh,Curriculum and Instruction,,,2026-04-28,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16250178
"Beyond the Mind's Ear: Anauralia, Aphantasia and Cognitive Diversity in Music Teaching",,Eneida Larti,Lionel Hampton School of Music,,,2026-05-05,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16250189
Meat Science and Innovation Center tour,Tour will be held at the Meat Science and Innovation Center on Perimeter Drive (near Facilities Complex).,James Nasados,Vandal Brand Meats,Tour will be held at the Meat Science and Innovation Center on Perimeter Drive (near Facilities Complex).,,2026-05-06,2026,2025/26,,,event,https://libcal.uidaho.edu/event/16250204
Transparent Practices: Transcribing the Archives,,Rebecca Hastings & Andrew Weymouth,Rebecca Hastings & Andrew Weymouth,,,2026-09-01,2026,2026/27,,,event,https://libcal.uidaho.edu/event/17509373
Celebrating 25 years of the Malcolm Renfrew Interdisciplinary Colloquium,The Malcolm M. Renfrew Interdisciplinary Colloquium is a series of lectures by distinguished members of the University of Idaho faculty and staff who present and describe their approaches to teaching and/or research in their respective disciplines. These lectures explore the specific subjects and methodologies that define the disciplines within which the speakers work. Substantive interdisciplinary work requires an appreciation for the nature of the disciplines involved.,Dan Bukvich; Michael O’Rourke; Rick Fehrenbacher,,The Malcolm M. Renfrew Interdisciplinary Colloquium is a series of lectures by distinguished members of the University of Idaho faculty and staff who present and describe their approaches to teaching and/or research in their respective disciplines. These lectures explore the specific subjects and methodologies that define the disciplines within which the speakers work. Substantive interdisciplinary work requires an appreciation for the nature of the disciplines involved.,,2026-09-08,2026,2026/27,,,event,https://libcal.uidaho.edu/event/17509383
The Replication Crisis and Replicability,,Berna Devezer & Erkan Buzbas,Berna Devezer & Erkan Buzbas,,,2026-09-15,2026,2026/27,,,event,https://libcal.uidaho.edu/event/17509392
"Illegal gold mining in Madidi National Park, Bolivia (in the Amazon Basin)",,Barry Green,Barry Green,,,2026-09-22,2026,2026/27,,,event,https://libcal.uidaho.edu/event/17509404
